fid,D01,D02,D03a,D03b,D04a,D04b,D05,D06a,D06b,D07,D08a,D08b,D08c,D09,D10,D11,D12,D13a,D13b,D14a,D14b,D15
10+1007_s10560-018-0584-y,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
10+1007_s10826-018-1194-1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
10+1007_s11121-020-01123-5,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10+1007_s12646-019-00477-3,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10+1007_s12671-019-01193-9,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
10+1016_j+ajp+2019+101892,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
10+1016_j+apnr+2004+07+006,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
10+1016_j+beth+2019+09+005,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
10+1016_j+brat+2013+09+005,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
10+1016_j+brat+2016+03+005,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0
10+1016_j+brat+2016+08+018,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10+1016_j+invent+2014+05+004,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
10+1016_j+jad+2012+11+036,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
10+1016_j+jad+2019+08+087,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
10+1016_j+jvb+2007+10+003,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10+1026_1616-3443+35+2+109,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10+1037_0022-006X+74+1+66,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10+1080_08865710802310178,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10+1080_09638230600998912,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10+1080_10926771+2016+1231149,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10+1080_15325024+2011+650128,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10+1111_j+1469-7610+2009+02136+x,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10+1111_j+1469-7610+2010+02209+x,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
10+1159_000319534,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10+1177_0829573510386449,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10+1375_prp+5+1+40,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10+14704_nq+2018+16+5+1312,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10+6018_analesps+35+2+342591,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12602420,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12795585,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12873069,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12902363,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0
15149708,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15677288,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15709843,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16741684,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16754827,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
16836477,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16873760,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
16877454,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
17157387,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
17175410,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
17295559,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17347362,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17885570,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0
17907851,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
