,pmid,secid,sentid,section,sentence_text,pred_consort_relevant
0,12795585,0,0,Title,The prevention of depressive symptoms in rural school children: a randomized controlled trial.,[]
1,26404640,0,0,Title,Universal School-Based Depression Prevention 'Op Volle Kracht': a Longitudinal Cluster Randomized Controlled Trial.,[]
2,29030792,0,0,Title,A Universal Intervention Program Increases Ethnic-Racial Identity Exploration and Resolution to Predict Adolescent Psychosocial Functioning One Year Later.,[]
3,29097357,0,0,Title,Preventing Depression in Final Year Secondary Students: School-Based Randomized Controlled Trial.,[]
4,29097357,1,1,Background,Depression often emerges for the first time during adolescence.,[]
5,29097357,1,2,Background,There is accumulating evidence that universal depression prevention programs may have the capacity to reduce the impact of depression when delivered in the school environment.,[]
6,29097357,2,3,Objective,"This trial investigated the effectiveness of SPARX-R, a gamified online cognitive behavior therapy intervention for the prevention of depression relative to an attention-matched control intervention delivered to students prior to facing a significant stressor-final secondary school exams.",[]
7,29097357,2,4,Objective,It was hypothesized that delivering a prevention intervention in advance of a stressor would reduce depressive symptoms relative to the control group.,[]
8,29097357,3,5,Methods,"A cluster randomized controlled trial was conducted in 10 government schools in Sydney, Australia.","['D03b', 'D02']"
9,29097357,3,6,Methods,"Participants were 540 final year secondary students (mean 16.7 [SD 0.51] years), and clusters at the school level were randomly allocated to SPARX-R or the control intervention.",['D03b']
10,29097357,3,7,Methods,"Interventions were delivered weekly in 7 modules, each taking approximately 20 to 30 minutes to complete.","['D04b', 'D04a']"
11,29097357,3,8,Methods,The primary outcome was symptoms of depression as measured by the Major Depression Inventory.,"['D06a', 'D06b']"
12,29097357,3,9,Methods,Intention-to-treat analyses were performed.,[]
13,29097357,4,10,Results,"Compared to controls, participants in the SPARX-R condition (n=242) showed significantly reduced depression symptoms relative to the control (n=298) at post-intervention (Cohen d=0.29) and 6 months post-baseline (d=0.21) but not at 18 months post-baseline (d=0.33).",[]
14,29097357,5,11,Conclusions,This is the first trial to demonstrate a preventive effect on depressive symptoms prior to a significant and universal stressor in adolescents.,[]
15,29097357,5,12,Conclusions,It demonstrates that an online intervention delivered in advance of a stressful experience can reduce the impact of such an event on the potential development or exacerbation of depression.,[]
16,29097357,6,13,Trial registration,Australian New Zealand Clinical Trials Registry ACTRN12614000316606; https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?id=365986 (Archived by WebCite at http://www.webcitation.org/ 6u7ou1aI9).,[]
17,31733917,0,0,Title,One-Year follow-up effects of a cognitive behavior therapy-based transdiagnostic program for emotional problems in young children: A school-based cluster-randomized controlled trial.,[]
18,31733917,1,1,Background,"The present study examined the long-term efficacy of a transdiagnostic prevention program, Super Skills for Life (SSL), among young children with emotional problems.",[]
19,31733917,1,2,Background,"SSL is based on the principles of cognitive behavioral therapy, behavioral activation, and social skills training.",[]
20,31733917,2,3,Methods,"One-hundred and twenty-three Spanish-speaking children, aged 6 to 8 years, and their parents participated in the study.",['D03b']
21,31733917,2,4,Methods,They were recruited from ten schools.,[]
22,31733917,2,5,Methods,Schools were randomly allocated to either the intervention (IG) or waiting-list control (WLC) groups.,"['D04b', 'D04a']"
23,31733917,2,6,Methods,"The children's parent completed a set of questionnaires to measure their child's anxiety and depressive symptoms, general difficulties and positive attributes, and psychosocial impairment.","['D06a', 'D06b']"
24,31733917,2,7,Methods,Parent's assessment at baseline and at a 12-month follow-up was assessed using an intent-to-treat approach.,[]
